Анна Валентиновна Щербакова;Долинск;пр. Республиканский, д. 7/8 к. 7;ММС Рус (Mitsubishi Motors);Издатель;+7 (403) 557-5251;mitofan2017@rambler.ru;1972-06-29;168307
Зиновьева Екатерина Дмитриевна;Звенигород;ул. Карбышева, д. 57 стр. 67;Авеста Фармацевтика (Baby Dream);Техник;8 298 863 0643;abramovaanastasija@yandex.ru;1957-06-19;65919
Шилова Нинель Вячеславовна;Енисейск;пр. Тимирязева, д. 26 стр. 834;Спортмастер;Археолог;8 (453) 656-15-54;djachkovvladimir@yandex.ru;1985-07-01;132789
Кудряшова Надежда Антоновна;Листвянка (Иркут.);бул. Трактовый, д. 7 стр. 30;Скания-Русь (Scania);Радист;+7 (941) 256-5708;litkinanonna@mail.ru;1963-06-15;33499
Орест Марсович Красильников;Тобольск;пер. Сиреневый, д. 383;Сталепромышленная компания;Аллерголог;+7 (971) 135-4588;kulaginmitofan@gmail.com;1986-10-29;109345
Виссарион Еремеевич Ильин;Минусинск;пер. Микрорайон, д. 804;Национальная нерудная компания;Диетолог;+7 249 590 1377;nazarovairina@yahoo.com;1963-06-16;148172
Самойлов Савватий Фадеевич;Ангарск;пер. Сурикова, д. 55 к. 532;Петролеум Трейдинг;Ракетчик;81895027676;timur2002@yandex.ru;1972-11-27;40064
Константинова Феврония Алексеевна;Зарайск;пер. Бабушкина, д. 8 стр. 3/1;Таграс (ТНГ-Групп);Следователь;+7 824 525 95 09;julija1979@yahoo.com;1999-08-19;78944
Ильина Любовь Петровна;Беслан;ул. Высокая, д. 1/6;Трансмашхолдинг;Биофизик;8 (280) 271-73-98;arhipovuljan@mail.ru;1998-01-23;85417
Христофор Феликсович Харитонов;Кропоткин (Краснод.);алл. Сельская, д. 25 к. 7/9;Русская медная компания;Начальник гаупвахты;8 (181) 449-6676;anisimovgorde@rambler.ru;1975-09-22;33187
Глафира Эльдаровна Веселова;Когалым;наб. Транспортная, д. 6/9 к. 3;ГК Орими Трэйд;Металлург;+7 957 443 27 06;eantonova@yahoo.com;1998-11-02;26141
Евгения Павловна Колесникова;Губкин;ул. Семашко, д. 62 к. 800;Нижнекамскнефтехим;Оператор кино и телевидения;8 586 608 54 35;krjukovostap@gmail.com;1968-02-07;137559
Лобанов Лука Анисимович;Ершов;ул. Леонова, д. 5/9;Иркутская нефтяная компания;Медник;8 610 228 53 60;gorshkovkliment@hotmail.com;1988-11-27;127413
Евпраксия Петровна Зайцева;Краснотурьинск;наб. Есенина, д. 13;Трансмашхолдинг;Тыловик;+72387042354;nikifor09@gmail.com;1968-03-05;153219
Гедеон Евсеевич Кошелев;Аргаяш;пр. Коммунаров, д. 4;Трансойл;Энтомолог;8 (664) 748-11-50;arefi2012@mail.ru;1999-06-06;129325
Кононов Ермолай Гертрудович;Ряжск;ул. Рыбацкая, д. 28;Иркутская нефтяная компания;Интендант;+7 366 589 05 11;avgust_1983@rambler.ru;1969-11-22;56719
Устинова Нинель Викторовна;Сеймчан;ш. Добролюбова, д. 953 стр. 130;Полюс;Невропатолог;+7 302 095 2481;artemevafinogen@gmail.com;1989-05-27;194147
Фортунат Гурьевич Жданов;Кущевская;ш. Гаражное, д. 10 стр. 6/6;Снежная Королева;Фельдшер;8 (555) 402-84-25;irakli_43@yahoo.com;1965-03-20;135254
Нина Руслановна Смирнова;Ербогачен;наб. Ленина, д. 30 к. 5/8;ПСМА Рус;Ветеринар;81255141358;ostap_94@hotmail.com;1958-08-29;173175
Медведев Станимир Исидорович;Россошь;алл. Юности, д. 6/3 стр. 2/4;Мазда Соллерс Мануфэкчуринг Рус;Клинер;+72909905301;januari_14@hotmail.com;1993-09-13;20168
Наталья Васильевна Силина;Нягань;пр. Марта 8, д. 8 стр. 395;Компания Металл Профиль;Поэт;+7 132 979 95 26;darja_22@rambler.ru;1992-03-19;195323
Парфен Демидович Назаров;Ведено;алл. Раздольная, д. 19 к. 2/7;Монди СЛПК (Mondi);Связист;+7 063 405 10 66;suvorovisidor@yandex.ru;1956-09-29;155262
Анжелика Васильевна Трофимова;Октябрьское (Челяб.);пр. Ватутина, д. 6 к. 12;Familia;Художник по свету;83518330972;tsvetkovafevronija@gmail.com;1995-11-25;132090
Максимов Потап Димитриевич;Омск;пр. Олега Кошевого, д. 5/6 к. 4/8;Верный;Дипломат;+7 (954) 158-82-20;bazhenkabanov@hotmail.com;2003-11-23;123304
Анатолий Валерьянович Суворов;Павловский Посад;ул. Пирогова, д. 1 к. 9;Велесстрой;Фермер;+7 (594) 460-40-31;prohor1982@rambler.ru;1952-12-24;178049
Мишин Лонгин Владиславович;Джубга;алл. Моховая, д. 9/7;Интернешнл Пейпер (International Paper);Разведчик;8 (397) 914-8703;vlas_63@rambler.ru;1959-10-20;45443
Блохин Ростислав Харитонович;Таштагол;ш. Кубанское, д. 6/7 к. 476;Лаборатория Касперского;Монтажник связи;+71124084871;lora_39@yahoo.com;1953-01-05;171187
Гордей Ермолаевич Голубев;Сарапул;пр. Семашко, д. 98 стр. 183;Самараэнерго;Сборщик;+7 (431) 709-66-61;sofija1976@yandex.ru;1960-09-30;134991
Ефремов Роман Аверьянович;Нурлат;ул. Машиностроителей, д. 94;Мостотрест;Канонир;+76073755504;isidor_05@yandex.ru;1991-12-23;63081
Красильникова Нинель Геннадиевна;Мокшан;алл. Калинина, д. 6/8 к. 4;Неофарм;Горнострелок;+7 565 832 48 18;afanasevaraisa@mail.ru;1980-08-31;122876
Белоусов Никифор Ефремович;Екатеринбург;наб. Севастопольская, д. 79;Морской терминал Тамань;Аккумуляторщик;+78968291939;iosif1980@rambler.ru;1970-04-21;126319
Оксана Семеновна Медведева;Усть-Илимск;пер. Лазо, д. 1/2 стр. 651;Европа;Ортопед;+77478866474;isidorkoshelev@hotmail.com;2004-07-19;64547
Надежда Владимировна Суханова;Шелагонцы;ул. Целинная, д. 252;ТГК-2;Аналитик;8 (259) 316-2143;foma_60@yandex.ru;1980-02-10;25545
Субботина Вероника Феликсовна;Дербент;алл. 8-е Марта, д. 422 стр. 1;Группа Нэфис;Океанолог;8 (461) 110-27-88;pahom2017@hotmail.com;1995-11-10;86842
Чеслав Глебович Мясников;Гусь-Хрустальный;алл. Тупиковая, д. 3 к. 267;Концерн Автоматика;Расточник;+7 (144) 096-33-49;solomon2014@rambler.ru;2000-12-27;58821
Захар Эдуардович Мишин;Егорьевск;ул. Металлистов, д. 759 стр. 649;РэйлАльянс;Военный переводчик;+7 (275) 228-36-85;bogdan1987@rambler.ru;1992-12-28;180239
г-жа Кононова Зоя Евгеньевна;Элиста;пер. Заводской, д. 966;Сибирская горно-металлургическая компания;Инженер-гальваник;+7 (842) 689-24-28;zaharovaagata@yahoo.com;1967-12-15;130199
Кудрявцева Алевтина Станиславовна;Жуковский;наб. Гастелло, д. 665;Шнейдер Электрик (Schneider Electric);Переводчик;8 306 924 57 45;nadezhda1981@yahoo.com;1954-08-24;134645
Милица Федоровна Никонова;Кашира;ул. Кутузова, д. 158 стр. 274;Борисхоф 1 (Inchcape);Кинооператор;+73688666754;noskovakim@gmail.com;1985-11-30;68560
Терентий Федотович Лебедев;Нефтеюганск;наб. Ягодная, д. 90 к. 47;РусВинил;Астрохимик;+7 011 846 26 28;nikandr57@gmail.com;2002-07-13;174359
Всеволод Данилович Терентьев;Анадырь;бул. Свердлова, д. 176 к. 986;Астон;Шкипер;+7 510 281 78 83;leonid17@yahoo.com;1960-02-03;39247
Светлана Олеговна Мамонтова;Череповец;пер. Братский, д. 26 к. 35;ТД Агроторг;Доула;81646083186;avgust_2008@gmail.com;2004-07-29;109824
Галина Семеновна Нестерова;Поронайск;алл. Окружная, д. 556 к. 5;Спортмастер;Монтажник радиоэлектронной аппаратуры и приборов;+7 061 472 1620;zikovaanna@mail.ru;1966-02-28;125574
Кира Кузьминична Пахомова;Златоуст;пер. Коммунистический, д. 249 стр. 1/6;ГК 1520;Товаровед;81009343706;danila1974@gmail.com;1966-08-29;146415
Парамон Валерьевич Сазонов;Одинцово;бул. Монтажников, д. 47 к. 18;Соллерс;Химик;8 (441) 360-1997;komissarovboleslav@rambler.ru;1986-10-29;156957
Егоров Иосиф Власович;Голицыно;алл. Полярная, д. 353;ДК Рус;Снабженец;8 (501) 411-3345;klavdi_69@hotmail.com;1977-02-25;113043
Муравьев Дорофей Германович;Рубцовск;алл. Локомотивная, д. 815 стр. 3;Стройгазмонтаж;Флорист;+7 (979) 330-13-12;silanti_2010@yahoo.com;1995-10-21;45057
Ковалева Екатерина Аскольдовна;Льгов;алл. Просторная, д. 846 стр. 278;Квадра;Журналист;+7 (971) 190-1220;beljaevostap@hotmail.com;1962-12-26;65115
Вероника Михайловна Белозерова;Шамары;ул. Кленовая, д. 5/7 стр. 43;Группа компаний МИЦ;Борт-инженер;8 (759) 373-15-34;nazar_2006@hotmail.com;1985-09-15;77605
Любомир Данилович Соболев;Кропоткин (Краснод.);ш. Воронежское, д. 1 к. 4/6;ТД Риф;Комбайнер;8 760 988 0256;komarovamilitsa@mail.ru;2002-03-12;85473
Лукина Маргарита Феликсовна;Соль-Илецк;бул. Беляева, д. 322;Российская электроника;Работник органов ЗАГСа;8 882 468 7473;smirnovaevfrosinija@rambler.ru;1995-11-20;20876
Маслова Евфросиния Юльевна;Иваново;пр. Рязанский, д. 8 стр. 4;СТД Петрович;Инженер;8 318 459 0709;vorontsovapraskovja@hotmail.com;1994-04-28;101384
Харитон Федосеевич Федоров;Южно-Сахалинск;ш. Фадеева, д. 24 к. 9;Русэнергосбыт;Тракторист;+7 (885) 432-82-74;knjazevserge@mail.ru;1987-06-18;117978
Олимпиада Ивановна Ефимова;Каспийск;пр. Хвойный, д. 7 стр. 979;S7 Group;Композитор;8 (087) 403-07-08;zhukovvenedikt@yahoo.com;1978-08-22;199250
Абрамова Зинаида Руслановна;Сузун;пр. М.Горького, д. 5/8;РКК Энергия;Радиолог;8 (228) 093-3115;julija2009@gmail.com;1985-02-10;30958
Фомин Венедикт Викторович;Шумиха;ш. Речное, д. 4/3;Шелл Нефть (Shell);Слесарь;+7 203 467 4613;krjukovbudimir@mail.ru;1996-01-16;48958
Кузьмина Маргарита Аскольдовна;Бодайбо;ш. Революционное, д. 4/7 к. 2;Автотор холдинг;Организатор свадеб;+71755352425;jblinov@mail.ru;1968-06-27;35323
Фока Ааронович Артемьев;Луга;ул. Подгорная, д. 88 к. 78;ГК ТНС энерго;Постановщик трюков;+7 438 374 8440;innokentidementev@yahoo.com;1996-02-24;38355
Миронов Никанор Артемьевич;Курильск;бул. Революции, д. 518 стр. 53;БСС;Лоцман;8 (996) 107-13-72;kallistrat32@yandex.ru;2002-06-30;118105
Самойлова Алевтина Ефимовна;Чебоксары;бул. Тракторный, д. 5 к. 3;Группа Синара;Мелиоратор;+7 349 633 8985;valentina1989@hotmail.com;1953-02-16;155099
Гурьева Феврония Егоровна;Оренбург;пер. Запрудный, д. 59 к. 849;Группа Содружество;Пекарь;8 (636) 622-63-25;kiselevaljudmila@hotmail.com;1972-10-12;171681
Кузьмин Станислав Дмитриевич;Тамбов;алл. Загородная, д. 9 к. 634;Кузбасская топливная компания;Борт-механик;+7 758 934 9430;seliverst_73@yahoo.com;1982-10-18;89430
Тимофей Демидович Тарасов;Серпухов;ул. Новая, д. 48 к. 8;ГК Невада (Самбери);Механизатор;8 (641) 973-12-29;novikovernest@rambler.ru;1964-09-30;41810
Архип Иосифович Ермаков;Серов;алл. Ильича, д. 1;Мосметрострой;Заточник;8 (865) 598-04-21;suhanovfilipp@rambler.ru;1969-05-06;175714
Леон Венедиктович Сафонов;Минеральные Воды;ул. Кольцова, д. 7/8;Промышленно-металлургический холдинг;Критик;+7 569 782 3712;vjakovleva@mail.ru;1960-10-30;129659
Алла Захаровна Егорова;Котлас;пр. Депутатский, д. 7 стр. 64;Салым Петролеум;Медицинская сестра;+71561186395;efim_51@gmail.com;1955-05-12;96875
Русков Севастьян Евсеевич;Пятигорск;алл. Демьяна Бедного, д. 565 к. 894;Мосметрострой;Проходчик;8 831 625 7205;shestakoviosif@yandex.ru;1983-10-01;159362
Елисеев Потап Данилович;Кашхатау;наб. Декабристов, д. 487 к. 7;Новороссийский морской торговый порт;Литейщик;+7 (823) 920-90-55;mechislavanisimov@yandex.ru;1982-06-06;94263
Богдан Авдеевич Шубин;Малая Вишера;пер. Ангарский, д. 2 к. 35;Eurasia Drilling Company;Релайтер;8 791 607 9136;artemevalora@gmail.com;1953-11-06;94957
Жуков Демид Алексеевич;Ребриха;пр. Раздольный, д. 30 к. 692;Группа Агат;Инженер-лаборант;+7 (214) 310-03-41;gorshkovinnokenti@gmail.com;1990-01-22;79745
Лыткина Александра Васильевна;Кунгур;бул. Рабочий, д. 5/7 стр. 67;Красцветмет;Квасник;8 366 851 8205;milen_04@gmail.com;1953-06-26;127102
Ипат Александрович Матвеев;Калач-на-Дону;алл. Белинского, д. 95 стр. 19;Группа Мэйджор;Сценарист;+7 443 302 75 36;larionovarkadi@mail.ru;1998-05-03;148450
Наумов Стоян Филиппович;Камышлов;алл. Коминтерна, д. 6/5;Агросила Групп;Фуражир;+7 (273) 254-7834;potap_2018@rambler.ru;1988-04-23;72279
Мамонтова Антонина Анатольевна;Воронеж;наб. Матросова, д. 412 стр. 790;Национальная медиа группа;Менеджер;+7 (861) 170-6885;mitofan1972@yandex.ru;1994-09-24;130821
Кулакова Анастасия Тарасовна;Сергиев Посад;наб. Кузнецова, д. 69 стр. 2;Сэтл групп;Геолог;+7 (940) 774-07-89;ivanovaaleksandra@hotmail.com;1983-06-14;93978
Горбунова Ксения Болеславовна;Армавир;ш. Фурманова, д. 50 стр. 683;Куйбышевазот;Тифлопедагог;8 (712) 037-8493;kondratgavrilov@yandex.ru;1997-04-14;135013
